RunId,iteration,Step,height,width,tree_density,cloud_quantity,rainy_season,biome_name,random_fire,position_fire,cloud_step,clouds_per_step,clouds_size,reprod_speed,water_density,num_of_lakes,corridor_density,obstacles_density,obstacles,wind_intensity,Fine,Burning,Burned,Terra,Total,Clouds
15,15,0,100,100,0,0,False,Default,True,Top,15,0,3,1,0.15,1,0.15,0.15,True,True,6521,1,0,0,6522,0
15,15,1,100,100,0,0,False,Default,True,Top,15,0,3,1,0.15,1,0.15,0.15,True,True,8025,22,4,0,8051,0
15,15,2,100,100,0,0,False,Default,True,Top,15,0,3,1,0.15,1,0.15,0.15,True,True,8529,37,7,0,8573,0
15,15,3,100,100,0,0,False,Default,True,Top,15,0,3,1,0.15,1,0.15,0.15,True,True,8626,63,13,0,8702,0
15,15,4,100,100,0,0,False,Default,True,Top,15,0,3,1,0.15,1,0.15,0.15,True,True,8534,115,51,0,8700,0
15,15,5,100,100,0,0,False,Default,True,Top,15,0,3,1,0.15,1,0.15,0.15,True,True,8369,146,90,0,8605,0
15,15,6,100,100,0,0,False,Default,True,Top,15,0,3,1,0.15,1,0.15,0.15,True,True,8112,184,206,0,8502,0
15,15,7,100,100,0,0,False,Default,True,Top,15,0,3,1,0.15,1,0.15,0.15,True,True,7868,203,294,0,8365,0
15,15,8,100,100,0,0,False,Default,True,Top,15,0,3,1,0.15,1,0.15,0.15,True,True,7665,181,400,0,8246,0
15,15,9,100,100,0,0,False,Default,True,Top,15,0,3,1,0.15,1,0.15,0.15,True,True,7539,175,416,0,8130,0
15,15,10,100,100,0,0,False,Default,True,Top,15,0,3,1,0.15,1,0.15,0.15,True,True,7288,246,436,0,7970,0
15,15,11,100,100,0,0,False,Default,True,Top,15,0,3,1,0.15,1,0.15,0.15,True,True,6955,355,538,0,7848,0
15,15,12,100,100,0,0,False,Default,True,Top,15,0,3,1,0.15,1,0.15,0.15,True,True,6559,364,683,0,7606,0
15,15,13,100,100,0,0,False,Default,True,Top,15,0,3,1,0.15,1,0.15,0.15,True,True,6455,256,780,0,7491,0
15,15,14,100,100,0,0,False,Default,True,Top,15,0,3,1,0.15,1,0.15,0.15,True,True,6433,239,753,0,7425,0
15,15,15,100,100,0,0,False,Default,True,Top,15,0,3,1,0.15,1,0.15,0.15,True,True,6614,168,649,0,7431,0
15,15,16,100,100,0,0,False,Default,True,Top,15,0,3,1,0.15,1,0.15,0.15,True,True,6937,139,532,0,7608,0
15,15,17,100,100,0,0,False,Default,True,Top,15,0,3,1,0.15,1,0.15,0.15,True,True,7276,128,371,0,7775,0
15,15,18,100,100,0,0,False,Default,True,Top,15,0,3,1,0.15,1,0.15,0.15,True,True,7591,110,272,0,7973,0
15,15,19,100,100,0,0,False,Default,True,Top,15,0,3,1,0.15,1,0.15,0.15,True,True,7856,134,182,0,8172,0
15,15,20,100,100,0,0,False,Default,True,Top,15,0,3,1,0.15,1,0.15,0.15,True,True,7916,210,159,0,8285,0
15,15,21,100,100,0,0,False,Default,True,Top,15,0,3,1,0.15,1,0.15,0.15,True,True,7814,264,244,0,8322,0
15,15,22,100,100,0,0,False,Default,True,Top,15,0,3,1,0.15,1,0.15,0.15,True,True,7735,244,302,0,8281,0
15,15,23,100,100,0,0,False,Default,True,Top,15,0,3,1,0.15,1,0.15,0.15,True,True,7541,234,456,0,8231,0
15,15,24,100,100,0,0,False,Default,True,Top,15,0,3,1,0.15,1,0.15,0.15,True,True,7242,322,543,0,8107,0
15,15,25,100,100,0,0,False,Default,True,Top,15,0,3,1,0.15,1,0.15,0.15,True,True,6941,362,598,0,7901,0
15,15,26,100,100,0,0,False,Default,True,Top,15,0,3,1,0.15,1,0.15,0.15,True,True,6634,396,627,0,7657,0
15,15,27,100,100,0,0,False,Default,True,Top,15,0,3,1,0.15,1,0.15,0.15,True,True,6249,453,686,0,7388,0
15,15,28,100,100,0,0,False,Default,True,Top,15,0,3,1,0.15,1,0.15,0.15,True,True,5816,522,828,0,7166,0
15,15,29,100,100,0,0,False,Default,True,Top,15,0,3,1,0.15,1,0.15,0.15,True,True,5599,457,882,0,6938,0
15,15,30,100,100,0,0,False,Default,True,Top,15,0,3,1,0.15,1,0.15,0.15,True,True,5556,422,829,0,6807,0
15,15,31,100,100,0,0,False,Default,True,Top,15,0,3,1,0.15,1,0.15,0.15,True,True,5745,329,709,0,6783,0
15,15,32,100,100,0,0,False,Default,True,Top,15,0,3,1,0.15,1,0.15,0.15,True,True,5839,363,621,0,6823,0
15,15,33,100,100,0,0,False,Default,True,Top,15,0,3,1,0.15,1,0.15,0.15,True,True,5787,462,630,0,6879,0
15,15,34,100,100,0,0,False,Default,True,Top,15,0,3,1,0.15,1,0.15,0.15,True,True,5867,408,652,0,6927,0
15,15,35,100,100,0,0,False,Default,True,Top,15,0,3,1,0.15,1,0.15,0.15,True,True,5880,424,647,0,6951,0
15,15,36,100,100,0,0,False,Default,True,Top,15,0,3,1,0.15,1,0.15,0.15,True,True,5707,530,667,0,6904,0
15,15,37,100,100,0,0,False,Default,True,Top,15,0,3,1,0.15,1,0.15,0.15,True,True,5557,582,655,0,6794,0
15,15,38,100,100,0,0,False,Default,True,Top,15,0,3,1,0.15,1,0.15,0.15,True,True,5297,595,706,0,6598,0
15,15,39,100,100,0,0,False,Default,True,Top,15,0,3,1,0.15,1,0.15,0.15,True,True,5096,565,795,0,6456,0
15,15,40,100,100,0,0,False,Default,True,Top,15,0,3,1,0.15,1,0.15,0.15,True,True,5062,514,861,0,6437,0
15,15,41,100,100,0,0,False,Default,True,Top,15,0,3,1,0.15,1,0.15,0.15,True,True,5201,452,935,0,6588,0
15,15,42,100,100,0,0,False,Default,True,Top,15,0,3,1,0.15,1,0.15,0.15,True,True,5531,290,857,0,6678,0
15,15,43,100,100,0,0,False,Default,True,Top,15,0,3,1,0.15,1,0.15,0.15,True,True,5848,321,684,0,6853,0
15,15,44,100,100,0,0,False,Default,True,Top,15,0,3,1,0.15,1,0.15,0.15,True,True,6114,313,584,0,7011,0
15,15,45,100,100,0,0,False,Default,True,Top,15,0,3,1,0.15,1,0.15,0.15,True,True,6268,376,492,0,7136,0
15,15,46,100,100,0,0,False,Default,True,Top,15,0,3,1,0.15,1,0.15,0.15,True,True,6361,398,468,0,7227,0
15,15,47,100,100,0,0,False,Default,True,Top,15,0,3,1,0.15,1,0.15,0.15,True,True,6478,359,460,0,7297,0
15,15,48,100,100,0,0,False,Default,True,Top,15,0,3,1,0.15,1,0.15,0.15,True,True,6765,242,402,0,7409,0
15,15,49,100,100,0,0,False,Default,True,Top,15,0,3,1,0.15,1,0.15,0.15,True,True,6989,287,314,0,7590,0
15,15,50,100,100,0,0,False,Default,True,Top,15,0,3,1,0.15,1,0.15,0.15,True,True,7126,284,344,0,7754,0
15,15,51,100,100,0,0,False,Default,True,Top,15,0,3,1,0.15,1,0.15,0.15,True,True,6957,412,418,0,7787,0
15,15,52,100,100,0,0,False,Default,True,Top,15,0,3,1,0.15,1,0.15,0.15,True,True,6899,318,485,0,7702,0
15,15,53,100,100,0,0,False,Default,True,Top,15,0,3,1,0.15,1,0.15,0.15,True,True,6769,374,512,0,7655,0
15,15,54,100,100,0,0,False,Default,True,Top,15,0,3,1,0.15,1,0.15,0.15,True,True,6508,421,598,0,7527,0
15,15,55,100,100,0,0,False,Default,True,Top,15,0,3,1,0.15,1,0.15,0.15,True,True,6472,334,599,0,7405,0
15,15,56,100,100,0,0,False,Default,True,Top,15,0,3,1,0.15,1,0.15,0.15,True,True,6461,355,588,0,7404,0
15,15,57,100,100,0,0,False,Default,True,Top,15,0,3,1,0.15,1,0.15,0.15,True,True,6529,292,625,0,7446,0
15,15,58,100,100,0,0,False,Default,True,Top,15,0,3,1,0.15,1,0.15,0.15,True,True,6743,253,529,0,7525,0
15,15,59,100,100,0,0,False,Default,True,Top,15,0,3,1,0.15,1,0.15,0.15,True,True,6747,326,507,0,7580,0
15,15,60,100,100,0,0,False,Default,True,Top,15,0,3,1,0.15,1,0.15,0.15,True,True,6862,255,531,0,7648,0
15,15,61,100,100,0,0,False,Default,True,Top,15,0,3,1,0.15,1,0.15,0.15,True,True,6961,258,479,0,7698,0
15,15,62,100,100,0,0,False,Default,True,Top,15,0,3,1,0.15,1,0.15,0.15,True,True,7131,197,418,0,7746,0
15,15,63,100,100,0,0,False,Default,True,Top,15,0,3,1,0.15,1,0.15,0.15,True,True,7336,172,337,0,7845,0
15,15,64,100,100,0,0,False,Default,True,Top,15,0,3,1,0.15,1,0.15,0.15,True,True,7425,245,291,0,7961,0
